Reference,Quantity,Value,Footprint,Notes
U1,1,74HC4051N,Package_DIP:DIP-16_W7.62mm_Socket_LongPads,DIP-16 socket required
U2,1,ESP32-WROOM-32,RF_Module:ESP32-WROOM-32,Module antenna at board edge
U3,1,LD1117S33TR,Package_TO_SOT_SMD:SOT-223-3_TabPin2,3.3 V regulator
C1 C2 C5,3,100n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,Decoupling
C3 C4,2,220uF 16V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,Electrolytic D8 P3.5
R1,1,470R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Horizontal,Video output series resistor
R2 R3,2,5k1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,USB-C CC pull-down
R4,1,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,ESP32 EN pull-up
J1,1,VIDEO_OUT_BANANA_RA,Connector_Banana:Banana_Jack_2Pin_P10.16mm_RightAngle,Verify purchased connector pin pitch
J2-J7,6,Right-angle 1x3,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal,Signal +5V GND
J8,1,USB_C_POWER,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,Power-only right-angle USB-C
JP1 JP2,2,WIRE_JUMPER,Jumper:Wire_5.08mm,Fit insulated wire links

